subject,event,ch1,ch2,coh_mean
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RFO15,0.6561232371214932
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIA14,0.6241089462718608
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIA15,0.5385977087339193
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIA16,0.673276533769164
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIP7,0.5406342620953799
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIA11,0.6881134259466017
D0090,"stimulus_c_(-1.0, -0.5)",RIA6,RIA12,0.5260856654483745
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIA14,0.7069209538731331
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIA15,0.5433415480687143
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIA16,0.7731010631829011
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIP7,0.5202663299335184
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIA11,0.4961122350205129
D0090,"stimulus_c_(-1.0, -0.5)",RFO15,RIA12,0.6442867813346486
D0090,"stimulus_c_(-1.0, -0.5)",RIA14,RIA15,0.659316173986155
D0090,"stimulus_c_(-1.0, -0.5)",RIA14,RIA16,0.61703108763677
D0090,"stimulus_c_(-1.0, -0.5)",RIA14,RIP7,0.6821404674424346
D0090,"stimulus_c_(-1.0, -0.5)",RIA14,RIA11,0.6208631818868772
D0090,"stimulus_c_(-1.0, -0.5)",RIA14,RIA12,0.5643260849474809
D0090,"stimulus_c_(-1.0, -0.5)",RIA15,RIA16,0.4561477864424413
D0090,"stimulus_c_(-1.0, -0.5)",RIA15,RIP7,0.6164618263508566
D0090,"stimulus_c_(-1.0, -0.5)",RIA15,RIA11,0.6758892619200242
D0090,"stimulus_c_(-1.0, -0.5)",RIA15,RIA12,0.6959649137033633
D0090,"stimulus_c_(-1.0, -0.5)",RIA16,RIP7,0.6169253686734222
D0090,"stimulus_c_(-1.0, -0.5)",RIA16,RIA11,0.5993601531907771
D0090,"stimulus_c_(-1.0, -0.5)",RIA16,RIA12,0.4936496515152319
D0090,"stimulus_c_(-1.0, -0.5)",RIP7,RIA11,0.6679119094259061
D0090,"stimulus_c_(-1.0, -0.5)",RIP7,RIA12,0.6761992234547537
D0090,"stimulus_c_(-1.0, -0.5)",RIA11,RIA12,0.6083517284526778
