subject,event,ch1,ch2,coh_mean
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RFO15,0.5217734050864369
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIA14,0.6403271722067793
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIA15,0.6507610702309793
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIA16,0.478934672755995
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIP7,0.6118231697438146
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIA11,0.7504233213624589
D0090,"stimulus_i_(-1.0, -0.5)",RIA6,RIA12,0.6190990523927157
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIA14,0.532319207821636
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIA15,0.4797345278221568
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIA16,0.5680537082413954
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIP7,0.6223542318198346
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIA11,0.6319363047669062
D0090,"stimulus_i_(-1.0, -0.5)",RFO15,RIA12,0.5350490659723203
D0090,"stimulus_i_(-1.0, -0.5)",RIA14,RIA15,0.7397654170607314
D0090,"stimulus_i_(-1.0, -0.5)",RIA14,RIA16,0.8089047336590938
D0090,"stimulus_i_(-1.0, -0.5)",RIA14,RIP7,0.5552576665496379
D0090,"stimulus_i_(-1.0, -0.5)",RIA14,RIA11,0.6110026083721918
D0090,"stimulus_i_(-1.0, -0.5)",RIA14,RIA12,0.5590442616799804
D0090,"stimulus_i_(-1.0, -0.5)",RIA15,RIA16,0.5175676400539654
D0090,"stimulus_i_(-1.0, -0.5)",RIA15,RIP7,0.5951050308910429
D0090,"stimulus_i_(-1.0, -0.5)",RIA15,RIA11,0.5943925926014153
D0090,"stimulus_i_(-1.0, -0.5)",RIA15,RIA12,0.677177141501069
D0090,"stimulus_i_(-1.0, -0.5)",RIA16,RIP7,0.5895466825040767
D0090,"stimulus_i_(-1.0, -0.5)",RIA16,RIA11,0.6637289913164096
D0090,"stimulus_i_(-1.0, -0.5)",RIA16,RIA12,0.5048730626095966
D0090,"stimulus_i_(-1.0, -0.5)",RIP7,RIA11,0.5817411467102055
D0090,"stimulus_i_(-1.0, -0.5)",RIP7,RIA12,0.6588787838677859
D0090,"stimulus_i_(-1.0, -0.5)",RIA11,RIA12,0.7122357698388541
