subject,event,ch1,ch2,coh_mean
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RFO15,0.48605896313750274
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIA14,0.4764008329751781
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIA15,0.6120808021273478
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIA16,0.5620413128131445
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIP7,0.5216240263259081
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIA11,0.556298372693982
D0090,"stimulus_i_(0.5, 1.0)",RIA6,RIA12,0.6075507933453441
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIA14,0.5925723588693155
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIA15,0.6228744317619905
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIA16,0.5654993060703409
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIP7,0.5521952966754777
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIA11,0.46316129673300926
D0090,"stimulus_i_(0.5, 1.0)",RFO15,RIA12,0.7468274422241656
D0090,"stimulus_i_(0.5, 1.0)",RIA14,RIA15,0.5669453557283259
D0090,"stimulus_i_(0.5, 1.0)",RIA14,RIA16,0.7316001324061469
D0090,"stimulus_i_(0.5, 1.0)",RIA14,RIP7,0.6420529753906419
D0090,"stimulus_i_(0.5, 1.0)",RIA14,RIA11,0.5917065099472348
D0090,"stimulus_i_(0.5, 1.0)",RIA14,RIA12,0.5442615185312502
D0090,"stimulus_i_(0.5, 1.0)",RIA15,RIA16,0.5688438439049983
D0090,"stimulus_i_(0.5, 1.0)",RIA15,RIP7,0.5242415819568461
D0090,"stimulus_i_(0.5, 1.0)",RIA15,RIA11,0.6228645726915432
D0090,"stimulus_i_(0.5, 1.0)",RIA15,RIA12,0.6112997992518391
D0090,"stimulus_i_(0.5, 1.0)",RIA16,RIP7,0.7700489894630306
D0090,"stimulus_i_(0.5, 1.0)",RIA16,RIA11,0.5622275124808184
D0090,"stimulus_i_(0.5, 1.0)",RIA16,RIA12,0.5134001859083256
D0090,"stimulus_i_(0.5, 1.0)",RIP7,RIA11,0.5209841622877791
D0090,"stimulus_i_(0.5, 1.0)",RIP7,RIA12,0.49821799255295346
D0090,"stimulus_i_(0.5, 1.0)",RIA11,RIA12,0.7661207676913824
